SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.121,0.262,0.313,28.094,27.086,1.631,28.028,2.028
apache1,0.336,0.637,0.674,33.714,57.324,7.635,44.207,2.695
busybox,0.287,0.504,0.844,77.861,112.293,18.755,82.642,5.329
linux,2.145,3.394,4.596,101493.478,-,49430.696,-,13.624
vim1,0.903,1.088,1.681,835.294,-,45773.523,-,8.842
apache2,0.539,0.819,0.693,32.642,-,-,-,3.579
gnuplot,1.314,1.190,0.944,2598.689,-,-,-,8.694
bash1,1.663,2.568,1.313,462.177,-,-,-,10.948
vim2,1.365,1.860,0.825,47.222,-,-,-,9.730
vim3,6.234,9.014,5.917,26266.714,-,-,-,37.788
bash2,4.412,5.412,1.256,63.362,-,-,-,19.986
xterm,13.729,15.249,7.697,-,-,-,-,59.923
