SUT,SOFOT,FIC,FICBS,TRT,ComFIL,NoPend
dia,0.5102,0.2532,0.2433,0.0,0.0,0.0
apache1,0.2246,0.70325,0.6944,0.0,0.0,0.0
busybox,0.0099,0.1316,0.13003,0.0,0.0,0.0
linux,0.25906,0.75987,0.76163,0.0,-,0.0
vim1,0.06375,0.934,0.93565,0.0,-,0.0
apache2,0.4998,0.4921,0.5014,-,-,0.0
gnuplot,0.12295,0.8732,0.87565,-,-,0.0
bash1,0.3747,0.74795,0.7452,-,-,0.0
vim2,0.4996,0.4963,0.5001,-,-,0.0
vim3,0.3995,0.7117,0.71268,-,-,0.0
bash2,0.4989,0.5047,0.4981,-,-,0.0
xterm,0.39822,0.67292,0.67576,-,-,0.0
Mean,0.32177,0.60673,0.60616,-,-,0.0
