SUT,SOFOT_precision,SOFOT_recall,FIC_precision,FIC_recall,FICBS_precision,FICBS_recall,BEN_precision,BEN_recall,IterAIFL_precision,IterAIFL_recall,TRT_precision,TRT_recall,ComFIL_precision,ComFIL_recall,NoPend_precision,NoPend_recall
dia,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
apache1,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
busybox,1.0,1.0,1.0,1.0,1.0,1.0,0.01587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
linux,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,1.0,-,-,1.0,1.0,-,-,1.0,1.0
vim1,1.0,1.0,1.0,1.0,1.0,1.0,0.06667,1.0,-,-,1.0,1.0,-,-,1.0,1.0
apache2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,-,-,-,-,-,1.0,1.0
gnuplot,1.0,1.0,1.0,1.0,1.0,1.0,0.14286,1.0,-,-,-,-,-,-,1.0,1.0
bash1,0.5,0.5,1.0,0.5,1.0,0.5,0.4,1.0,-,-,-,-,-,-,1.0,1.0
vim2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,-,-,-,-,-,1.0,1.0
vim3,1.0,1.0,1.0,1.0,1.0,1.0,0.33333,1.0,-,-,-,-,-,-,1.0,1.0
bash2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,-,-,-,-,-,1.0,1.0
xterm,0.66667,0.66667,1.0,0.66667,1.0,0.66667,-,-,-,-,-,-,-,-,1.0,1.0
Mean,0.93056,0.84722,1.0,0.93056,1.0,0.93056,-,-,-,-,-,-,-,-,1.0,1.0
