SUT,#Parameter,#MFS,Size of MFS,Overlapped
bugs\apache\modules\experimental\util_ldap_cache.c,2,1,1,No
bugs\apache\modules\filters\mod_include.c,6,1,1,No
bugs\apache\modules\slotmem\mod_slotmem_shm.c,8,2,2;2,Yes
bugs\apache\modules\ssl\ssl_util.c,3,1,1,No
bugs\apache\os\unix\unixd.c,30,1,1,No
bugs\apache\os\win32\ap_regkey.c,3,1,3,No
bugs\apache\server\listen.c,6,1,1,No
bugs\apache\server\mpm_common.c,18,1,1,No
bugs\apache\server\mpm\prefork\prefork.c,29,1,1,No
bugs\apache\server\mpm\winnt\mpm_winnt.c,4,1,2,No
bugs\apache\support\ab.c,19,1,1,No
bugs\bash\execute_cmd.c,47,2,2;2,Yes
bugs\bash\support\getcppsyms.c,142,1,1,No
bugs\bison\data\push.c,50,1,1,No
bugs\busybox\archival\tar.c,16,1,3,No
bugs\busybox\libbb\verror_msg.c,2,1,1,No
bugs\busybox\miscutils\less.c,8,1,2,No
bugs\busybox\miscutils\nandwrite.c,2,2,1;1,No
bugs\busybox\networking\ftpd.c,10,1,6,No
bugs\busybox\networking\httpd.c,18,1,4,No
bugs\busybox\networking\nc.c,3,1,3,No
bugs\busybox\shell\hush.c,49,1,4,No
bugs\busybox\util-linux\mdev.c,2,1,2,No
bugs\cherokee\cherokee\access.c,7,1,1,No
bugs\cherokee\cherokee\main.c,3,1,1,No
bugs\cherokee\cherokee\thread.c,2,1,1,No
bugs\cvs\src\buffer.c,8,1,2,No
bugs\dia\app\app_procs.c,22,1,2,No
bugs\dia\app\preferences.c,5,1,1,No
bugs\dia\lib\prop_text.c,3,2,1;1,No
bugs\firefox\zlib\gzread.c,1,1,1,No
bugs\fvwm\fvwm\builtins.c,14,1,1,No
bugs\fvwm\fvwm\events.c,9,1,1,No
bugs\fvwm\fvwm\ewmh_icons.c,1,1,1,No
bugs\fvwm\fvwm\icons.c,3,1,1,No
bugs\fvwm\fvwm\style.c,2,1,1,No
bugs\fvwm\fvwm\virtual.c,2,1,1,No
bugs\fvwm\libs\FlocaleCharset.c,4,1,1,No
bugs\fvwm\modules\FvwmButtons\FvwmButtons.c,16,1,1,No
bugs\fvwm\modules\FvwmWharf\FvwmWharf.c,4,1,1,No
bugs\gcc\gcc\asan.c,1,1,1,No
bugs\gcc\gcc\combine-stack-adj.c,2,1,1,No
bugs\gcc\gcc\cse.c,5,1,2,No
bugs\gnome-keyring\common\gkr-location.c,2,1,1,No
bugs\gnome-vfs\modules\http-proxy.c,2,1,1,No
bugs\gnuplot\src\datafile.c,8,1,2,No
bugs\gnuplot\src\eval.c,13,1,1,No
bugs\gnuplot\src\gplt_x11.c,36,1,1,No
bugs\gnuplot\src\graph3d.c,5,1,1,No
bugs\gnuplot\src\graphics.c,9,1,1,No
bugs\gnuplot\src\mouse.c,12,1,1,No
bugs\gnuplot\src\parse.c,2,1,1,No
bugs\gnuplot\src\plot.c,42,1,3,No
bugs\gnuplot\src\util.c,6,1,2,No
bugs\gnuplot\src\wxterminal\gp_cairo.c,3,1,1,No
bugs\irssi\src\core\modules-load.c,1,1,1,No
bugs\irssi\src\core\modules.c,1,1,1,No
bugs\irssi\src\core\recode.c,1,1,1,No
bugs\libpng\pngrutil.c,47,1,2,No
bugs\libpng\pngtest.c,49,1,2,No
bugs\libpng\pngtrans.c,26,1,1,No
bugs\libpng\contrib\libtests\pngvalid.c,39,1,1,No
bugs\libssh\libssh\auth.c,2,1,1,No
bugs\libssh\libssh\kex.c,10,1,1,No
bugs\libssh\libssh\keys.c,4,1,1,No
bugs\libssh\libssh\options.c,4,1,1,No
bugs\libssh\src\channels.c,3,1,1,No
bugs\libssh\src\client.c,5,1,2,No
bugs\libssh\src\dh.c,4,1,2,No
bugs\libssh\src\keyfiles.c,4,1,2,No
bugs\libssh\src\keys.c,4,1,2,No
bugs\libssh\src\known_hosts.c,3,1,2,No
bugs\libssh\src\messages.c,2,1,1,No
bugs\libssh\src\options.c,4,1,1,No
bugs\libssh\src\pki.c,8,1,1,No
bugs\libssh\src\pki_crypto.c,6,1,1,No
bugs\libxml2\xmlregexp.c,15,1,1,No
bugs\libxml2\xpath.c,23,1,1,No
bugs\lighttpd\src\condition.c,2,1,1,No
bugs\linux\arch\arm\mach-omap2\board-generic.c,2,1,2,No
bugs\linux\arch\arm\mach-omap2\board-omap3pandora.c,3,1,2,No
bugs\linux\arch\arm\mm\fault.c,5,1,1,No
bugs\linux\arch\blackfin\mach-common\pm.c,14,1,2,No
bugs\linux\arch\parisc\mm\init.c,15,1,3,No
bugs\linux\arch\powerpc\kernel\kprobes.c,5,1,5,No
bugs\linux\arch\s390\crypto\prng.c,2,1,2,No
bugs\linux\arch\x86\kernel\smpboot.c,6,1,2,No
bugs\linux\arch\x86\pci\common.c,8,1,3,No
bugs\linux\block\cfq-iosched.c,2,1,2,No
bugs\linux\drivers\base\core.c,6,1,1,No
bugs\linux\drivers\base\dd.c,4,1,4,No
bugs\linux\drivers\extcon\extcon-class.c,3,1,3,No
bugs\linux\drivers\gpu\drm\i915\i915_dma.c,4,1,3,No
bugs\linux\drivers\infiniband\hw\ocrdma\ocrdma_main.c,2,1,2,No
bugs\linux\drivers\net\3c59x.c,11,1,2,No
bugs\linux\drivers\net\arm\ep93xx_eth.c,2,1,2,No
bugs\linux\drivers\tty\pty.c,3,1,2,No
bugs\linux\fs\jffs2\super.c,4,1,1,No
bugs\linux\fs\proc\task_mmu.c,5,1,1,No
bugs\linux\fs\quota\dquot.c,2,1,1,No
bugs\linux\fs\reiserfs\namei.c,3,1,1,No
bugs\linux\include\linux\if_vlan.h,4,1,1,No
bugs\linux\include\linux\kernel.h,9,1,1,No
bugs\linux\include\net\inet_hashtables.h,5,1,1,No
bugs\linux\init\main.c,18,2,2;5,No
bugs\linux\kernel\module.c,13,1,2,No
bugs\linux\kernel\rcutree_plugin.h,13,1,3,No
bugs\linux\kernel\sched\proc.c,2,1,1,No
bugs\linux\kernel\sched\rt.c,3,1,1,No
bugs\linux\kernel\time\tick-sched.c,5,1,2,No
bugs\linux\mm\slab.c,20,1,5,No
bugs\linux\net\core\netpoll.c,2,1,2,No
bugs\linux\net\ipv4\tcp_minisocks.c,5,1,2,No
bugs\linux\net\ipv4\udp.c,3,1,1,No
bugs\linux\net\sctp\ipv6.c,4,1,3,No
bugs\lua\src\loadlib_rel.c,20,1,7,No
bugs\totem\src\totem.c,4,1,1,No
bugs\vim\src\ex_cmds.c,63,1,1,No
bugs\vim\src\if_mzsch.c,18,1,6,No
bugs\vim\src\memfile.c,12,1,3,No
bugs\vim\src\netbeans.c,21,1,4,No
bugs\vim\src\os_unix.c,123,2,2;2,No
bugs\xfig\w_cmdpanel.c,4,1,1,No
bugs\xterm\main.c,208,3,2;2;2,Yes
